College,Mean
Auburn-AL,1275.409091
Jacksonville-AL,
Livingston-AL,
Montevallo-AL,1291.97412
Troy-AL,
Tuscaloosa-AL,1307.201754
Tuskegee-AL,1223.1375
Fairbanks-AK,
Flagstaff-AZ,2129.181818
Arkadelphia-AR,
Conway-AR,
Fayetteville-AR,1191.123355
Magnolia-AR,
Monticello-AR,
Russellville-AR,
Arcata-CA,
Chico-CA,1326.693182
Davis-CA,2030.9
San-Luis-Obispo-CA,
Santa-Barbara-CA,
Santa-Cruz-CA,3529.833333
Alamosa-CO,
Boulder-CO,2756.248366
Durango-CO,
Fort-Collins-CO,1854.515789
Gunnison-CO,
Storrs-CT,
Willimantic-CT,1851.315789
Newark-DE,1638.756061
Gainesville-FL,1441.330743
Tallahassee-FL,1373.0875
Tallahassee-FL,1373.0875
Athens-GA,1476.87987
Carrollton-GA,
Dahlonega-GA,1734.115385
Fort-Valley-GA,1143.448513
Milledgeville-GA,
Statesboro-GA,
Valdosta-GA,1101.375
Moscow-ID,
Pocatello-ID,
Carbondale-IL,639.5
Champaign-Urbana-IL,1397.614286
Charleston-IL,
DeKalb-IL,
Edwardsville-IL,1691.907273
Macomb-IL,
Bloomington-IN,1396.742857
Muncie-IN,
Terre-Haute-IN,
West-Lafayette-IN,1509.983333
Ames-IA,954.3811189
Cedar-Falls-IA,1173.559524
Iowa-City-IA,1349.583333
Emporia-KS,
Hays-KS,
Lawrence-KS,1164.759615
Manhattan-KS,811.15
Pittsburg-KS,
Bowling-Green-KY,1203.45
Morehead-KY,
Murray-KY,
Richmond-KY,
Grambling-LA,
Hammond-LA,
Natchitoches-LA,
Ruston-LA,
Thibodaux-LA,
Augusta-ME,
Farmington-ME,
Gorham-ME,2243.350679
Orono-ME,
Frostburg-MD,
Princess-Anne-MD,1433.75
Salisbury-MD,1433.75
Amherst-MA,1946.090278
Bridgewater-MA,2590.646321
Ann-Arbor-MI,1890.579323
Big-Rapids-MI,
Detroit-MI,1674.391667
East-Lansing-MI,1628.325
Houghton-MI,
Kalamazoo-MI,1225.526565
Marquette-MI,
Mount-Pleasant-MI,
Ypsilanti-MI,1225.196429
Bemidji-MN,
Minneapolis-MN,1746.723718
Crookston-MN,
Mankato-MN,
Marshall-MN,
Morris-MN,
Northfield-MN,1657.113636
St.-Cloud-MN,1039.340226
Winona-MN,
Cleveland-MS,
Hattiesburg-MS,1207.5
Itta-Bena-MS,
Oxford-MS,
Starkville-MS,1211.866667
Cape-Girardeau-MO,
Columbia-MO,1293.85
Kirksville-MO,
Maryville-MO,
Rolla-MO,
Warrensburg-MO,
Bozeman-MT,2062.416667
Dillon-MT,
Missoula-MT,
Lincoln-NE,1227.998577
Kearney-NE,
Wayne-NE,
Durham-NH,2585.772727
Plymouth-NH,
Glassboro-NJ,2068.892628
Las-Cruces-NM,1215.911111
Las-Vegas-NM,
Portales-NM,
Silver-City-NM,
Alfred-NY,
Binghamton-NY,
Brockport-NY,1564.431304
Cobleskill-NY,
Cortland-NY,2454.779167
Delhi-NY,
Fredonia-NY,
Geneseo-NY,1604.345238
New-Paltz-NY,1680.3
Oneonta-NY,
Oswego-NY,
Plattsburgh-NY,
Potsdam-NY,
Saratoga-Springs-NY,1861.5
Boone-NC,
Chapel-Hill-NC,1725.281433
Cullowhee-NC,
Greenville-NC,1082.087719
Pembroke-NC,
Grand-Forks-ND,900.5
Athens-OH,
Bowling-Green-OH,1107.305
Kent-OH,1311.25
Oxford-OH,1291.02381
Durant-OK,
Edmond-OK,1251.522727
Langston-OK,
Norman-OK,1042.582043
Stillwater-OK,897.8333333
Tahlequah-OK,
Weatherford-OK,
Ashland-OR,
Corvallis-OR,
Monmouth-OR,1507.836124
Bloomsburg-PA,
California-PA,1290.892857
Clarion-PA,
East-Stroudsburg-PA,
Edinboro-PA,
Indiana-PA,
Kutztown-PA,1667.804348
Lock-Haven-PA,
Mansfield-PA,
Millersville-PA,1622.376623
Shippensburg-PA,
Slippery-Rock-PA,
State-College-PA,1463.625
Kingston-RI,
Clemson-SC,1302.333333
Orangeburg-SC,
Brookings-SD,
Madison-SD,
Spearfish-SD,
Vermillion-SD,
Cookeville-TN,
Martin-TN,
Murfreesboro-TN,1524.179141
Alpine-TX,
Canyon-TX,
College-Station-TX,1282.01918
Commerce-TX,
Denton-TX,1496.370968
Huntsville-TX,
Kingsville-TX,
Nacogdoches-TX,
Prairie-View-TX,1866.535714
San-Marcos-TX,1370.331579
Stephenville-TX,
Cedar-City-UT,
Logan-UT,
Burlington-VT,
Randolph-VT,
Blacksburg-VA,1484.866667
Charlottesville-VA,1870.931522
Farmville-VA,
Fredericksburg-VA,1969.73913
Harrisonburg-VA,
Lexington-VA,
Radford-VA,1484.866667
Williamsburg-VA,1813.84375
Wise-VA,
Cheney-WA,
Ellensburg-WA,
Pullman-WA,
Fairmont-WV,1215.02381
Huntington-WV,
Morgantown-WV,1215.02381
La-Crosse-WI,
Madison-WI,1790.957237
Menomonie-WI,
Platteville-WI,
River-Falls-WI,
Stevens-Point-WI,
Whitewater-WI,
